ds,yhat
2010-02-05,47.845001877571505
2010-02-12,48.55014663129873
2010-02-19,47.16631411922091
2010-02-26,45.94998923878786
2010-03-05,45.67519815011895
2010-03-12,45.61856786647182
2010-03-19,45.26746487417352
2010-03-26,45.14534021053648
2010-04-02,45.82609760450804
2010-04-09,46.78977304447044
2010-04-16,46.869244517899936
2010-04-23,45.75800595922993
2010-04-30,44.55314095320054
2010-05-07,44.54807358220675
2010-05-14,45.76316908631266
2010-05-21,47.02401598307009
2010-05-28,47.40793823509938
2010-06-04,47.20241460030976
2010-06-11,47.267192223130856
2010-06-18,47.779246373888405
2010-06-25,48.02768807913401
2010-07-02,47.428833278999136
2010-07-09,46.331280128047204
2010-07-16,45.56935999304579
2010-07-23,45.4594964201575
2010-07-30,45.61721209663558
2010-08-06,45.728681516159156
2010-08-13,46.037437772822514
2010-08-20,46.760618537452885
2010-08-27,47.31014968096622
2010-09-03,46.66990912002781
2010-09-10,44.72903069259378
2010-09-17,42.8270904100503
2010-09-24,42.498723011049016
2010-10-01,43.724350987549236
2010-10-08,44.889392419966605
2010-10-15,44.70385192131307
2010-10-22,43.8216110818452
2010-10-29,44.08921463643262
2010-11-05,46.284361912501446
2010-11-12,49.185994381070216
2010-11-19,51.25722021948037
2010-11-26,52.81247967733641
2010-12-03,55.643746308452904
2010-12-10,60.18500998630514
2010-12-17,63.65392516120893
2010-12-24,62.01631889755308
2010-12-31,54.224874397323845
2011-01-07,44.1662683744558
2011-01-14,37.79327051984168
2011-01-21,38.081389755733085
2011-01-28,42.83574846089477
2011-02-04,47.30655522149831
2011-02-11,48.602677983279726
2011-02-18,47.42338047861736
2011-02-25,46.07361363401227
2011-03-04,45.67297185877011
2011-03-11,45.655979533969706
2011-03-18,45.357061253105634
2011-03-25,45.14552669545681
2011-04-01,45.69946468841046
2011-04-08,46.71351218340109
2011-04-15,47.030990247502466
2011-04-22,46.09987957218306
2011-04-29,44.81360038424697
2011-05-06,44.56070927063928
2011-05-13,45.64003540481688
2011-05-20,47.003512156702136
2011-05-27,47.573456956022305
2011-06-03,47.423924943098996
2011-06-10,47.41133013029759
2011-06-17,47.89457214787878
2011-06-24,48.26837652504587
2011-07-01,47.83910687835565
2011-07-08,46.78466682787819
2011-07-15,45.9302957577437
2011-07-22,45.73449945660454
2011-07-29,45.89685044209571
2011-08-05,46.02827927890072
2011-08-12,46.28698920807711
2011-08-19,46.967645853807
2011-08-26,47.6415845060528
2011-09-02,47.28029933668737
2011-09-09,45.52381267668998
2011-09-16,43.4966640572871
2011-09-23,42.84461474941273
2011-09-30,43.89850668459388
2011-10-07,45.22467550390695
2011-10-14,45.30954451527431
2011-10-21,44.43635701334611
2011-10-28,44.396913551797034
2011-11-04,46.302435591748825
2011-11-11,49.23037991243618
2011-11-18,51.50881553134758
2011-11-25,53.04869882847231
2011-12-02,55.55028610932777
2011-12-09,59.910115305436285
2011-12-16,63.89502021579493
2011-12-23,63.39202340147773
2011-12-30,56.553961112310695
2012-01-06,46.46393696953818
2012-01-13,39.080236598745365
2012-01-20,38.20914460429256
2012-01-27,42.50789100926669
2012-02-03,47.347291694287485
2012-02-10,49.258665451685054
2012-02-17,48.361337200495484
2012-02-24,46.904846151235745
2012-03-02,46.34486480447542
2012-03-09,46.332525397602296
2012-03-16,46.08978251219546
2012-03-23,45.804304123666434
2012-03-30,46.2066662003446
2012-04-06,47.21487060592812
2012-04-13,47.73535507562862
2012-04-20,47.00108275832183
2012-04-27,45.66779402984302
2012-05-04,45.16256949865487
2012-05-11,46.05377358207035
2012-05-18,47.467072679483934
2012-05-25,48.21182794519765
2012-06-01,48.134254673131416
2012-06-08,48.04175352119538
2012-06-15,48.458674390846895
2012-06-22,48.91730412266599
2012-06-29,48.648650577361344
2012-07-06,47.65147130910024
2012-07-13,46.70506874853791
2012-07-20,46.39614274867883
2012-07-27,46.533228730766254
2012-08-03,46.67557532945528
2012-08-10,46.88108644211533
2012-08-17,47.48992494283134
2012-08-24,48.23612303816982
2012-08-31,48.12421897250653
2012-09-07,46.57542654062606
2012-09-14,44.46584356706206
2012-09-21,43.486764624429426
2012-09-28,44.302655662975226
2012-10-05,45.72044360076271
2012-10-12,46.070194346221484
2012-10-19,45.256452483064976
2012-10-26,44.93612112932901
2012-10-28,45.175686824847446
2012-11-04,47.26785084791699
2012-11-11,50.19517672331085
2012-11-18,52.35692557564511
2012-11-25,53.90467884880023
2012-12-02,56.60715405585775
2012-12-09,61.09253593822147
2012-12-16,64.79149568572905
2012-12-23,63.619104574757834
2012-12-30,56.199657989955725
2013-01-06,46.108779913809364
2013-01-13,39.32267812208514
